State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Avg_Annual_Rainfall,MNREGA_JobCards_Issued,MNREGA_Active_Workers,Yield_Lag1,Production_Lag1,Yield_Pct_Change,Yield_Rolling_3Y,Yield_Shock
ANDHRA PRADESH,ANANTAPUR,2001,Rabi       ,Rice,38119.0,108906.0,2.857000445971825,572.7,323800.0,487015.0,2.589981447124304,57236.0,0.10309687706218762,2.5671168458607525,0
ANDHRA PRADESH,ANANTAPUR,2002,Rabi       ,Rice,10960.0,20462.0,1.866970802919708,572.7,323800.0,487015.0,2.857000445971825,108906.0,-0.34652764736106045,2.437984232005279,1
ANDHRA PRADESH,ANANTAPUR,2003,Rabi       ,Rice,10826.0,25463.0,2.3520229078145207,572.7,323800.0,487015.0,1.866970802919708,20462.0,0.25980701151633,2.358664718902018,0
ANDHRA PRADESH,ANANTAPUR,2004,Rabi       ,Rice,9240.0,21622.0,2.34004329004329,572.7,323800.0,487015.0,2.3520229078145207,25463.0,-0.005093325295186912,2.1863456669258396,0
ANDHRA PRADESH,ANANTAPUR,2005,Rabi       ,Rice,23142.0,55587.0,2.401996370235935,572.7,323800.0,487015.0,2.34004329004329,21622.0,0.02647518550458039,2.364687522697915,0
ANDHRA PRADESH,ANANTAPUR,2006,Rabi       ,Rice,10846.0,31974.0,2.9479992624008853,572.7,323800.0,487015.0,2.401996370235935,55587.0,0.22731212208756157,2.5633463075600367,0
ANDHRA PRADESH,ANANTAPUR,2007,Rabi       ,Rice,14000.0,37000.0,2.642857142857143,572.7,323800.0,487015.0,2.9479992624008853,31974.0,-0.10350820756150092,2.6642842584979873,0
ANDHRA PRADESH,ANANTAPUR,2008,Rabi       ,Rice,18416.0,49815.0,2.7049847958297133,572.7,323800.0,487015.0,2.642857142857143,37000.0,0.023507760584215776,2.7652804003625806,0
ANDHRA PRADESH,ANANTAPUR,2009,Rabi       ,Rice,19428.0,46899.0,2.4139901173563927,572.7,323800.0,487015.0,2.7049847958297133,49815.0,-0.1075771955990098,2.587277352014416,0
ANDHRA PRADESH,ANANTAPUR,2010,Rabi       ,Rice,24828.0,69394.0,2.794989527952312,572.7,323800.0,487015.0,2.4139901173563927,46899.0,0.15782973089101082,2.6379881470461393,0
ANDHRA PRADESH,ANANTAPUR,2011,Rabi       ,Rice,10948.0,25542.0,2.333028863719401,572.7,323800.0,487015.0,2.794989527952312,69394.0,-0.1652817155888796,2.514002836342702,0
ANDHRA PRADESH,ANANTAPUR,2012,Rabi       ,Rice,6998.0,17768.0,2.539011146041726,572.7,323800.0,487015.0,2.333028863719401,25542.0,0.08828964164375597,2.5556765125711465,0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi       ,Rice,12283.0,28558.0,2.325002035333388,572.7,323800.0,487015.0,2.539011146041726,17768.0,-0.08428836991990951,2.3990140150315047,0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi       ,Rice,6553.0,14377.0,2.1939569662749885,572.7,323800.0,487015.0,2.325002035333388,28558.0,-0.05636342122152527,2.3526567158833678,0
ANDHRA PRADESH,ANANTAPUR,2014,Whole Year ,Rice,29211.0,82532.0,2.825374002944097,572.7,323800.0,487015.0,0.0,0.0,0.0,0.0,0
ANDHRA PRADESH,ANANTAPUR,1999,Kharif     ,Sesamum,8.0,2.0,0.25,572.7,323800.0,487015.0,0.0,0.0,0.0,0.0,0
ANDHRA PRADESH,ANANTAPUR,2000,Kharif     ,Sesamum,5.0,1.0,0.2,572.7,323800.0,487015.0,0.25,2.0,-0.19999999999999996,0.0,0
ANDHRA PRADESH,ANANTAPUR,1999,Rabi       ,Sesamum,10.0,2.0,0.2,572.7,323800.0,487015.0,0.0,0.0,0.0,0.0,0
ANDHRA PRADESH,ANANTAPUR,2001,Rabi       ,Sesamum,2.0,1.0,0.5,572.7,323800.0,487015.0,0.2,2.0,1.5,0.0,0
ANDHRA PRADESH,ANANTAPUR,1997,Kharif     ,Sugarcane,700.0,72900.0,104.14285714285714,572.7,323800.0,487015.0,0.0,0.0,0.0,0.0,0
ANDHRA PRADESH,ANANTAPUR,2012,Kharif     ,Sugarcane,76.0,6954.0,91.5,572.7,323800.0,487015.0,104.14285714285714,72900.0,-0.12139917695473246,0.0,0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif     ,Sugarcane,281.0,26505.0,94.32384341637012,572.7,323800.0,487015.0,91.5,6954.0,0.03086167668164075,96.65556685307575,0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif     ,Sugarcane,30.0,2456.0,81.86666666666666,572.7,323800.0,487015.0,94.32384341637012,26505.0,-0.13206816323964055,89.23017002767892,0
ANDHRA PRADESH,ANANTAPUR,1998,Whole Year ,Sugarcane,700.0,65900.0,94.14285714285714,572.7,323800.0,487015.0,0.0,0.0,0.0,0.0,0
ANDHRA PRADESH,ANANTAPUR,1999,Whole Year ,Sugarcane,884.0,83126.0,94.03393665158372,572.7,323800.0,487015.0,94.14285714285714,65900.0,-0.00115697031701667,0.0,0
ANDHRA PRADESH,ANANTAPUR,2000,Whole Year ,Sugarcane,284.0,25395.0,89.41901408450704,572.7,323800.0,487015.0,94.03393665158372,83126.0,-0.04907720267179683,92.53193595964929,0
ANDHRA PRADESH,ANANTAPUR,2001,Whole Year ,Sugarcane,490.0,42470.0,86.6734693877551,572.7,323800.0,487015.0,89.41901408450704,25395.0,-0.030704260440147624,90.04214004128194,0
ANDHRA PRADESH,ANANTAPUR,2002,Whole Year ,Sugarcane,329.0,22481.0,68.33130699088146,572.7,323800.0,487015.0,86.6734693877551,42470.0,-0.21162372438116517,81.47459682104788,1
ANDHRA PRADESH,ANANTAPUR,2003,Whole Year ,Sugarcane,454.0,32386.0,71.33480176211454,572.7,323800.0,487015.0,68.33130699088146,22481.0,0.0439548854470746,75.44652604691703,0
ANDHRA PRADESH,ANANTAPUR,2004,Whole Year ,Sugarcane,400.0,34072.0,85.18,572.7,323800.0,487015.0,71.33480176211454,32386.0,0.19408756870252586,74.94870291766533,0
ANDHRA PRADESH,ANANTAPUR,2005,Whole Year ,Sugarcane,227.0,20612.0,90.80176211453744,572.7,323800.0,487015.0,85.18,34072.0,0.06599861604293777,82.43885462555066,0
ANDHRA PRADESH,ANANTAPUR,2006,Whole Year ,Sugarcane,339.0,30937.0,91.25958702064896,572.7,323800.0,487015.0,90.80176211453744,20612.0,0.005042026668315325,89.0804497117288,0
ANDHRA PRADESH,ANANTAPUR,2008,Whole Year ,Sugarcane,131.0,12305.0,93.93129770992368,572.7,323800.0,487015.0,91.25958702064896,30937.0,0.029275945426645356,91.99754894837002,0
